Provider,Start,End,Epic,TimeFrame,OpenAsk,OpenBid,HighAsk,HighBid,LowAsk,LowBid,CloseAsk,CloseBid,Volume
IG,2025-03-03 00:00:00.000,2025-03-03 00:05:00.000,CS.D.EURUSD.TODAY.IP,M5,10412.9,10411.6,10413,10411.6,10403.1,10402,10403.3,10402.4,281
IG,2025-03-03 00:05:00.000,2025-03-03 00:10:00.000,CS.D.EURUSD.TODAY.IP,M5,10403.4,10402.5,10411.1,10410.5,10403.4,10402.5,10411,10410.4,216
IG,2025-03-03 00:10:00.000,2025-03-03 00:15:00.000,CS.D.EURUSD.TODAY.IP,M5,10410.9,10410.3,10412.5,10411.6,10408.9,10408.2,10410,10409.1,126
IG,2025-03-03 00:15:00.000,2025-03-03 00:20:00.000,CS.D.EURUSD.TODAY.IP,M5,10410.4,10409.5,10418,10417.1,10408,10407.1,10416.5,10415.6,211
IG,2025-03-03 00:20:00.000,2025-03-03 00:25:00.000,CS.D.EURUSD.TODAY.IP,M5,10416.4,10415.5,10418,10417.1,10413.9,10413,10415,10414.1,141
IG,2025-03-03 00:25:00.000,2025-03-03 00:30:00.000,CS.D.EURUSD.TODAY.IP,M5,10415.1,10414.2,10420.6,10419.7,10414.5,10413.6,10416.5,10415.6,267
IG,2025-03-03 00:30:00.000,2025-03-03 00:35:00.000,CS.D.EURUSD.TODAY.IP,M5,10416.7,10415.8,10419.1,10418.2,10414.9,10414,10417.5,10416.6,182
IG,2025-03-03 00:35:00.000,2025-03-03 00:40:00.000,CS.D.EURUSD.TODAY.IP,M5,10417.4,10416.5,10417.6,10416.7,10414.6,10413.7,10415,10414.4,145
IG,2025-03-03 00:40:00.000,2025-03-03 00:45:00.000,CS.D.EURUSD.TODAY.IP,M5,10415.5,10414.6,10417.5,10416.6,10411.4,10410.7,10414,10413.1,189
IG,2025-03-03 00:45:00.000,2025-03-03 00:50:00.000,CS.D.EURUSD.TODAY.IP,M5,10414.1,10413.2,10415.2,10414.3,10410.9,10410,10412,10411.1,151
IG,2025-03-03 00:50:00.000,2025-03-03 00:55:00.000,CS.D.EURUSD.TODAY.IP,M5,10412.1,10411.2,10413.3,10412.7,10410.7,10410.1,10411.6,10410.7,174
IG,2025-03-03 00:55:00.000,2025-03-03 01:00:00.000,CS.D.EURUSD.TODAY.IP,M5,10411.7,10410.8,10412.8,10412.1,10409.6,10408.7,10409.9,10409,169
IG,2025-03-03 01:00:00.000,2025-03-03 01:05:00.000,CS.D.EURUSD.TODAY.IP,M5,10410.1,10409.2,10414.9,10414.3,10408,10407.2,10414.7,10414.1,349
IG,2025-03-03 01:05:00.000,2025-03-03 01:10:00.000,CS.D.EURUSD.TODAY.IP,M5,10414.6,10414,10421.9,10420.7,10412.9,10412.3,10420.4,10419.8,285
IG,2025-03-03 01:10:00.000,2025-03-03 01:15:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.3,10419.7,10423,10422.1,10418.4,10417.7,10418.6,10418,205
IG,2025-03-03 01:15:00.000,2025-03-03 01:20:00.000,CS.D.EURUSD.TODAY.IP,M5,10418.5,10417.9,10418.6,10418,10414.7,10414.1,10417.3,10416.7,241
IG,2025-03-03 01:20:00.000,2025-03-03 01:25:00.000,CS.D.EURUSD.TODAY.IP,M5,10417.4,10416.5,10420.4,10419.8,10417.3,10416.5,10420.2,10419.6,183
IG,2025-03-03 01:25:00.000,2025-03-03 01:30:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.3,10419.7,10421.1,10420.3,10419.3,10418.7,10420,10419.4,151
IG,2025-03-03 01:30:00.000,2025-03-03 01:35:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.1,10419.5,10420.9,10420.3,10418.1,10417.5,10420.1,10419.2,192
IG,2025-03-03 01:35:00.000,2025-03-03 01:40:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.2,10419.3,10421.3,10420.7,10418,10417.4,10420.7,10420.1,195
IG,2025-03-03 01:40:00.000,2025-03-03 01:45:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.5,10419.9,10420.5,10419.9,10417.4,10416.5,10418.4,10417.8,136
IG,2025-03-03 01:45:00.000,2025-03-03 01:50:00.000,CS.D.EURUSD.TODAY.IP,M5,10418.8,10418.2,10420.5,10419.7,10417.6,10416.9,10420,10419.4,142
IG,2025-03-03 01:50:00.000,2025-03-03 01:55:00.000,CS.D.EURUSD.TODAY.IP,M5,10419.9,10419.3,10421.5,10420.7,10419.8,10419.2,10421,10420.4,172
IG,2025-03-03 01:55:00.000,2025-03-03 02:00:00.000,CS.D.EURUSD.TODAY.IP,M5,10421.2,10420.6,10423.5,10422.6,10419.7,10418.8,10420.2,10419.3,329
IG,2025-03-03 02:00:00.000,2025-03-03 02:05:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.3,10419.4,10420.5,10419.9,10417,10416.4,10418.6,10418,153
IG,2025-03-03 02:05:00.000,2025-03-03 02:10:00.000,CS.D.EURUSD.TODAY.IP,M5,10418.8,10418.2,10421.3,10420.7,10418.7,10418.1,10421.3,10420.7,121
IG,2025-03-03 02:10:00.000,2025-03-03 02:15:00.000,CS.D.EURUSD.TODAY.IP,M5,10421.2,10420.6,10423.3,10422.7,10421.2,10420.6,10422.1,10421.5,110
IG,2025-03-03 02:15:00.000,2025-03-03 02:20:00.000,CS.D.EURUSD.TODAY.IP,M5,10421.8,10421.2,10422.1,10421.5,10419.4,10418.5,10421.9,10421.3,157
IG,2025-03-03 02:20:00.000,2025-03-03 02:25:00.000,CS.D.EURUSD.TODAY.IP,M5,10422.2,10421.6,10423.2,10422.6,10419.3,10418.7,10419.7,10419.1,109
IG,2025-03-03 02:25:00.000,2025-03-03 02:30:00.000,CS.D.EURUSD.TODAY.IP,M5,10419.9,10419.3,10420.5,10419.9,10416.6,10416,10416.9,10416.3,113
IG,2025-03-03 02:30:00.000,2025-03-03 02:35:00.000,CS.D.EURUSD.TODAY.IP,M5,10416.8,10416.2,10418.2,10417.6,10415.3,10414.7,10418.1,10417.5,128
IG,2025-03-03 02:35:00.000,2025-03-03 02:40:00.000,CS.D.EURUSD.TODAY.IP,M5,10417.8,10417.2,10421.5,10420.6,10417.8,10417.2,10418.8,10418.2,108
IG,2025-03-03 02:40:00.000,2025-03-03 02:45:00.000,CS.D.EURUSD.TODAY.IP,M5,10418.9,10418.3,10421.1,10420.5,10418.8,10418.2,10420.2,10419.6,111
IG,2025-03-03 02:45:00.000,2025-03-03 02:50:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.1,10419.5,10421.3,10420.7,10419.4,10418.8,10421.2,10420.6,78
IG,2025-03-03 02:50:00.000,2025-03-03 02:55:00.000,CS.D.EURUSD.TODAY.IP,M5,10421.4,10420.8,10424,10422.8,10419.8,10419.2,10422.7,10422.1,113
IG,2025-03-03 02:55:00.000,2025-03-03 03:00:00.000,CS.D.EURUSD.TODAY.IP,M5,10422.6,10422,10422.6,10422,10419.7,10419,10420.3,10419.7,127
IG,2025-03-03 03:00:00.000,2025-03-03 03:05:00.000,CS.D.EURUSD.TODAY.IP,M5,10420.2,10419.6,10420.4,10419.8,10415.6,10415,10417.1,10415.8,193
