Provider,Start,End,Epic,TimeFrame,OpenAsk,OpenBid,HighAsk,HighBid,LowAsk,LowBid,CloseAsk,CloseBid,Volume
IG,2025-03-03 00:00:03.000,2025-03-03 00:05:00.000,CS.D.GBPUSD.TODAY.IP,M5,12602.4,12601.5,12602.7,12601.8,12594.9,12594,12595.2,12594.3,275
IG,2025-03-03 00:05:01.000,2025-03-03 00:10:00.000,CS.D.GBPUSD.TODAY.IP,M5,12596.4,12595.5,12605.1,12603.6,12596.3,12595.4,12605.1,12603.6,221
IG,2025-03-03 00:10:00.000,2025-03-03 00:15:00.000,CS.D.GBPUSD.TODAY.IP,M5,12605,12603.5,12606,12604.5,12602.9,12601.9,12603.2,12602.3,162
IG,2025-03-03 00:15:00.000,2025-03-03 00:20:00.000,CS.D.GBPUSD.TODAY.IP,M5,12603.1,12602.2,12608.7,12607.3,12601.1,12600.2,12607,12606.1,289
IG,2025-03-03 00:20:00.000,2025-03-03 00:25:01.000,CS.D.GBPUSD.TODAY.IP,M5,12606.9,12606,12608.5,12607.6,12605.2,12604.3,12606.1,12605.2,288
IG,2025-03-03 00:25:01.000,2025-03-03 00:30:00.000,CS.D.GBPUSD.TODAY.IP,M5,12606.3,12605.4,12610.7,12609.5,12605.4,12604.5,12607.9,12607,324
IG,2025-03-03 00:30:00.000,2025-03-03 00:35:00.000,CS.D.GBPUSD.TODAY.IP,M5,12608.2,12607.3,12611.4,12610.5,12606.4,12605.5,12609.6,12608.1,248
IG,2025-03-03 00:35:00.000,2025-03-03 00:40:01.000,CS.D.GBPUSD.TODAY.IP,M5,12609.7,12608.2,12609.7,12608.2,12603.8,12602.8,12605.2,12604.3,199
IG,2025-03-03 00:40:01.000,2025-03-03 00:45:00.000,CS.D.GBPUSD.TODAY.IP,M5,12605.3,12604.4,12607.6,12606.7,12602.4,12601.5,12605.5,12604,234
IG,2025-03-03 00:45:00.000,2025-03-03 00:49:56.000,CS.D.GBPUSD.TODAY.IP,M5,12605.7,12604.2,12607.3,12605.8,12601.2,12600.3,12603.1,12602.2,208
IG,2025-03-03 00:50:08.000,2025-03-03 00:55:01.000,CS.D.GBPUSD.TODAY.IP,M5,12603.2,12602.3,12605.6,12604.7,12601.9,12601,12605.1,12604.2,231
IG,2025-03-03 00:55:00.000,2025-03-03 01:00:00.000,CS.D.GBPUSD.TODAY.IP,M5,12604.2,12603.3,12606.2,12605.3,12602.7,12601.8,12603,12602.1,265
IG,2025-03-03 01:00:00.000,2025-03-03 01:05:00.000,CS.D.GBPUSD.TODAY.IP,M5,12603.2,12602.3,12608.6,12607.7,12601.1,12600.2,12607.3,12606.4,511
IG,2025-03-03 01:05:00.000,2025-03-03 01:10:00.000,CS.D.GBPUSD.TODAY.IP,M5,12607.1,12606.2,12612.9,12612,12605,12604.1,12612.2,12611.3,409
IG,2025-03-03 01:10:00.000,2025-03-03 01:15:00.000,CS.D.GBPUSD.TODAY.IP,M5,12612.1,12611.2,12612.5,12611.6,12608.6,12607.7,12609.1,12608.2,383
IG,2025-03-03 01:15:00.000,2025-03-03 01:20:00.000,CS.D.GBPUSD.TODAY.IP,M5,12609.2,12608.3,12609.3,12608.4,12606,12605.1,12608.3,12607.4,492
IG,2025-03-03 01:20:00.000,2025-03-03 01:25:00.000,CS.D.GBPUSD.TODAY.IP,M5,12608.4,12607.5,12610.8,12609.5,12607.8,12606.9,12609.7,12608.8,237
IG,2025-03-03 01:25:00.000,2025-03-03 01:30:00.000,CS.D.GBPUSD.TODAY.IP,M5,12609.6,12608.7,12610.3,12609.4,12609,12608.1,12609.3,12608.4,180
IG,2025-03-03 01:30:00.000,2025-03-03 01:35:00.000,CS.D.GBPUSD.TODAY.IP,M5,12609.2,12608.3,12611.6,12610.7,12608.2,12607.3,12609.7,12608.8,239
IG,2025-03-03 01:35:00.000,2025-03-03 01:40:00.000,CS.D.GBPUSD.TODAY.IP,M5,12609.8,12608.9,12611.9,12611,12607.9,12607,12611.4,12610.5,234
IG,2025-03-03 01:40:00.000,2025-03-03 01:45:00.000,CS.D.GBPUSD.TODAY.IP,M5,12611.1,12610.2,12611.1,12610.2,12607.3,12606.4,12608,12607.1,190
IG,2025-03-03 01:45:00.000,2025-03-03 01:50:00.000,CS.D.GBPUSD.TODAY.IP,M5,12608.1,12607.2,12612,12611.1,12608,12607.1,12610.6,12609.7,224
IG,2025-03-03 01:50:00.000,2025-03-03 01:55:00.000,CS.D.GBPUSD.TODAY.IP,M5,12610.5,12609.6,12613.1,12612.2,12610.1,12609.2,12612.3,12611.4,271
IG,2025-03-03 01:55:00.000,2025-03-03 02:00:00.000,CS.D.GBPUSD.TODAY.IP,M5,12612.4,12611.5,12614.3,12613.4,12609.2,12608.3,12609.2,12608.3,248
IG,2025-03-03 02:00:00.000,2025-03-03 02:05:00.000,CS.D.GBPUSD.TODAY.IP,M5,12609.1,12608.2,12609.8,12608.9,12607,12606.1,12607.9,12607,182
IG,2025-03-03 02:05:00.000,2025-03-03 02:10:00.000,CS.D.GBPUSD.TODAY.IP,M5,12608,12607.1,12611.3,12610.4,12608,12607.1,12610.5,12609.6,135
IG,2025-03-03 02:10:00.000,2025-03-03 02:15:00.000,CS.D.GBPUSD.TODAY.IP,M5,12610.8,12609.9,12613.3,12612.4,12610.7,12609.8,12611.9,12611,112
IG,2025-03-03 02:15:00.000,2025-03-03 02:20:00.000,CS.D.GBPUSD.TODAY.IP,M5,12611.8,12610.9,12612.2,12611.3,12609,12608.1,12611.4,12610.5,154
IG,2025-03-03 02:20:00.000,2025-03-03 02:25:00.000,CS.D.GBPUSD.TODAY.IP,M5,12611.3,12610.4,12612.8,12611.9,12610.6,12609.7,12611.5,12610.6,123
IG,2025-03-03 02:25:00.000,2025-03-03 02:30:00.000,CS.D.GBPUSD.TODAY.IP,M5,12611.4,12610.5,12612.3,12611.4,12607.8,12606.9,12608.2,12607.3,146
IG,2025-03-03 02:30:00.000,2025-03-03 02:35:00.000,CS.D.GBPUSD.TODAY.IP,M5,12607.9,12607,12608.7,12607.8,12605.6,12604.7,12608.4,12607.5,140
IG,2025-03-03 02:35:00.000,2025-03-03 02:40:00.000,CS.D.GBPUSD.TODAY.IP,M5,12608.2,12607.3,12611.8,12610.9,12608.1,12607.2,12608.9,12608,182
IG,2025-03-03 02:40:00.000,2025-03-03 02:45:00.000,CS.D.GBPUSD.TODAY.IP,M5,12608.7,12607.8,12611.9,12611,12608.5,12607.6,12610.4,12609.5,139
IG,2025-03-03 02:45:00.000,2025-03-03 02:50:00.000,CS.D.GBPUSD.TODAY.IP,M5,12610.6,12609.7,12612.2,12611.3,12609.2,12608.3,12612.1,12611.2,140
IG,2025-03-03 02:50:00.000,2025-03-03 02:55:00.000,CS.D.GBPUSD.TODAY.IP,M5,12612.2,12611.3,12614.1,12613.2,12610.8,12609.9,12612.7,12611.8,110
IG,2025-03-03 02:55:00.000,2025-03-03 03:00:00.000,CS.D.GBPUSD.TODAY.IP,M5,12612.6,12611.7,12612.6,12611.7,12607.8,12606.9,12607.9,12607,197
IG,2025-03-03 03:00:00.000,2025-03-03 03:05:00.000,CS.D.GBPUSD.TODAY.IP,M5,12607.7,12606.8,12607.9,12607,12603.8,12602.3,12605.2,12604.3,227
IG,2025-03-03 03:05:00.000,2025-03-03 03:10:00.000,CS.D.GBPUSD.TODAY.IP,M5,12605.3,12604.4,12605.9,12605,12601.1,12600.2,12602,12601.1,302
IG,2025-03-03 03:10:00.000,2025-03-03 03:15:00.000,CS.D.GBPUSD.TODAY.IP,M5,12602.1,12601.2,12603.9,12603,12599.9,12598.8,12600.2,12599.3,200
IG,2025-03-03 03:15:00.000,2025-03-03 03:20:00.000,CS.D.GBPUSD.TODAY.IP,M5,12600,12599.1,12602.1,12601.2,12599.3,12598.4,12600.6,12599.7,224
IG,2025-03-03 03:20:00.000,2025-03-03 03:25:00.000,CS.D.GBPUSD.TODAY.IP,M5,12600.7,12599.8,12601.6,12600.7,12598.5,12597.6,12598.5,12597.6,191
IG,2025-03-03 03:25:00.000,2025-03-03 03:30:00.000,CS.D.GBPUSD.TODAY.IP,M5,12598.8,12597.9,12601.8,12600.9,12597.3,12596.4,12601.2,12600.3,149
