Provider,Start,End,Epic,TimeFrame,OpenAsk,OpenBid,HighAsk,HighBid,LowAsk,LowBid,CloseAsk,CloseBid,Volume
IG,2025-03-03 00:05:00.000,2025-03-03 00:10:00.000,IX.D.DAX.DAILY.IP,M5,22636.9,22629.9,22642.1,22635.1,22625.1,22618.1,22640.2,22633.2,0
IG,2025-03-03 00:10:03.000,2025-03-03 00:15:00.000,IX.D.DAX.DAILY.IP,M5,22641.2,22634.2,22641.2,22634.2,22600.9,22593.9,22600.9,22593.9,0
IG,2025-03-03 00:15:00.000,2025-03-03 00:20:00.000,IX.D.DAX.DAILY.IP,M5,22602.8,22595.8,22657.8,22652.8,22599,22592,22624.3,22619.3,161
IG,2025-03-03 00:20:05.000,2025-03-03 00:24:43.000,IX.D.DAX.DAILY.IP,M5,22624.8,22619.8,22675.8,22670.8,22624.3,22619.3,22656.3,22651.3,69
IG,2025-03-03 00:25:01.000,2025-03-03 00:29:49.000,IX.D.DAX.DAILY.IP,M5,22658.3,22653.3,22662.8,22657.8,22654.3,22649.3,22655.3,22650.3,37
IG,2025-03-03 00:30:04.000,2025-03-03 00:35:00.000,IX.D.DAX.DAILY.IP,M5,22654.8,22649.8,22654.8,22649.8,22637.3,22632.3,22639.3,22634.3,42
IG,2025-03-03 00:35:21.000,2025-03-03 00:40:01.000,IX.D.DAX.DAILY.IP,M5,22638.8,22633.8,22638.8,22633.8,22608.8,22603.8,22616.8,22611.8,44
IG,2025-03-03 00:40:21.000,2025-03-03 00:45:00.000,IX.D.DAX.DAILY.IP,M5,22617.3,22612.3,22624.8,22619.8,22615.3,22610.3,22624.8,22619.8,17
IG,2025-03-03 00:45:00.000,2025-03-03 00:50:00.000,IX.D.DAX.DAILY.IP,M5,22625.8,22620.8,22638.3,22633.3,22620.8,22615.8,22621.3,22616.3,18
IG,2025-03-03 00:50:05.000,2025-03-03 00:55:01.000,IX.D.DAX.DAILY.IP,M5,22621.8,22616.8,22621.8,22616.8,22613.8,22608.8,22617.8,22612.8,38
IG,2025-03-03 00:55:00.000,2025-03-03 01:00:00.000,IX.D.DAX.DAILY.IP,M5,22617.8,22612.8,22617.8,22612.8,22595.3,22590.3,22595.3,22590.3,39
IG,2025-03-03 01:00:00.000,2025-03-03 01:05:00.000,IX.D.DAX.DAILY.IP,M5,22594.8,22589.8,22606.8,22601.8,22579.8,22574.8,22601.3,22596.3,42
IG,2025-03-03 01:05:00.000,2025-03-03 01:10:00.000,IX.D.DAX.DAILY.IP,M5,22601.8,22596.8,22619.8,22614.8,22601.8,22596.8,22614.3,22609.3,21
IG,2025-03-03 01:10:00.000,2025-03-03 01:15:00.000,IX.D.DAX.DAILY.IP,M5,22614.8,22609.8,22615.3,22610.3,22596.3,22591.3,22596.3,22591.3,43
IG,2025-03-03 01:15:00.000,2025-03-03 01:20:00.000,IX.D.DAX.DAILY.IP,M5,22595.8,22590.8,22598.8,22593.8,22582.8,22577.8,22586.3,22581.3,45
IG,2025-03-03 01:20:00.000,2025-03-03 01:25:00.000,IX.D.DAX.DAILY.IP,M5,22587.3,22582.3,22591.3,22586.3,22585.8,22580.8,22591.3,22586.3,22
IG,2025-03-03 01:25:00.000,2025-03-03 01:30:00.000,IX.D.DAX.DAILY.IP,M5,22591.8,22586.8,22600.3,22595.3,22591.8,22586.8,22600.3,22595.3,1
IG,2025-03-03 01:30:00.000,2025-03-03 01:35:00.000,IX.D.DAX.DAILY.IP,M5,22600.8,22595.8,22605.3,22600.3,22593.3,22588.3,22598.8,22593.8,33
IG,2025-03-03 01:35:00.000,2025-03-03 01:40:00.000,IX.D.DAX.DAILY.IP,M5,22599.3,22594.3,22603.8,22598.8,22590.3,22585.3,22603.3,22598.3,12
IG,2025-03-03 01:40:00.000,2025-03-03 01:45:00.000,IX.D.DAX.DAILY.IP,M5,22602.8,22597.8,22603.8,22598.8,22591.8,22586.8,22603.8,22598.8,9
IG,2025-03-03 01:45:00.000,2025-03-03 01:50:00.000,IX.D.DAX.DAILY.IP,M5,22604.8,22599.8,22615.3,22610.3,22603.8,22598.8,22615.3,22610.3,10
IG,2025-03-03 01:50:00.000,2025-03-03 01:55:00.000,IX.D.DAX.DAILY.IP,M5,22615.8,22610.8,22617.8,22612.8,22615.3,22610.3,22616.8,22611.8,3
IG,2025-03-03 01:55:00.000,2025-03-03 02:00:00.000,IX.D.DAX.DAILY.IP,M5,22617.8,22612.8,22624.8,22619.8,22617.3,22612.3,22624.3,22619.3,12
IG,2025-03-03 02:00:00.000,2025-03-03 02:05:00.000,IX.D.DAX.DAILY.IP,M5,22623.8,22618.8,22630.3,22625.3,22620.8,22615.8,22621.3,22616.3,24
IG,2025-03-03 02:05:00.000,2025-03-03 02:10:00.000,IX.D.DAX.DAILY.IP,M5,22620.8,22615.8,22637.3,22632.3,22616.8,22611.8,22634.3,22629.3,26
