Provider,Start,End,Epic,TimeFrame,OpenAsk,OpenBid,HighAsk,HighBid,LowAsk,LowBid,CloseAsk,CloseBid,Volume
IG,2025-03-03 00:04:59.000,2025-03-03 00:09:59.000,IX.D.DOW.DAILY.IP,M5,43819,43814.2,43823,43818.2,43798.5,43793.7,43819.5,43814.7,155
IG,2025-03-03 00:09:59.000,2025-03-03 00:14:59.000,IX.D.DOW.DAILY.IP,M5,43820,43815.2,43821,43816.2,43783.5,43778.7,43783.5,43778.7,174
IG,2025-03-03 00:14:59.000,2025-03-03 00:19:59.000,IX.D.DOW.DAILY.IP,M5,43784,43779.2,43802,43797.2,43760,43755.2,43780,43775.2,559
IG,2025-03-03 00:19:59.000,2025-03-03 00:24:59.000,IX.D.DOW.DAILY.IP,M5,43780.5,43775.7,43811,43806.2,43771,43766.2,43778,43773.2,260
IG,2025-03-03 00:24:59.000,2025-03-03 00:29:59.000,IX.D.DOW.DAILY.IP,M5,43778.5,43773.7,43789,43784.2,43767,43762.2,43770,43765.2,113
IG,2025-03-03 00:29:59.000,2025-03-03 00:34:58.000,IX.D.DOW.DAILY.IP,M5,43770.5,43765.7,43771.5,43766.7,43748.5,43743.7,43759.5,43754.7,163
IG,2025-03-03 00:34:59.000,2025-03-03 00:39:58.000,IX.D.DOW.DAILY.IP,M5,43757,43752.2,43757,43752.2,43717.5,43712.7,43737.5,43732.7,372
IG,2025-03-03 00:39:59.000,2025-03-03 00:44:59.000,IX.D.DOW.DAILY.IP,M5,43738,43733.2,43757.5,43752.7,43736.5,43731.7,43754.5,43749.7,59
IG,2025-03-03 00:44:59.000,2025-03-03 00:49:59.000,IX.D.DOW.DAILY.IP,M5,43755,43750.2,43772.5,43767.7,43754.5,43749.7,43772.5,43767.7,147
IG,2025-03-03 00:49:59.000,2025-03-03 00:54:58.000,IX.D.DOW.DAILY.IP,M5,43773,43768.2,43775.5,43770.7,43755.5,43750.7,43756.5,43751.7,118
IG,2025-03-03 00:55:00.000,2025-03-03 01:00:00.000,IX.D.DOW.DAILY.IP,M5,43757,43752.2,43761.5,43756.7,43726.5,43721.7,43737.5,43732.7,343
IG,2025-03-03 01:00:00.000,2025-03-03 01:05:00.000,IX.D.DOW.DAILY.IP,M5,43738.5,43733.7,43776.5,43771.7,43718.5,43713.7,43760.5,43755.7,657
IG,2025-03-03 01:05:00.000,2025-03-03 01:10:00.000,IX.D.DOW.DAILY.IP,M5,43761.5,43756.7,43782.5,43777.7,43758,43753.2,43771,43766.2,265
IG,2025-03-03 01:10:00.000,2025-03-03 01:15:00.000,IX.D.DOW.DAILY.IP,M5,43770.5,43765.7,43772.5,43767.7,43755,43750.2,43766.5,43761.7,128
IG,2025-03-03 01:15:00.000,2025-03-03 01:20:00.000,IX.D.DOW.DAILY.IP,M5,43767,43762.2,43768,43763.2,43737,43732.2,43745.5,43740.7,185
IG,2025-03-03 01:20:00.000,2025-03-03 01:25:00.000,IX.D.DOW.DAILY.IP,M5,43746,43741.2,43765.5,43760.7,43742.5,43737.7,43760,43755.2,205
IG,2025-03-03 01:25:00.000,2025-03-03 01:30:00.000,IX.D.DOW.DAILY.IP,M5,43760.5,43755.7,43770.5,43765.7,43750.5,43745.7,43767,43762.2,118
IG,2025-03-03 01:30:00.000,2025-03-03 01:35:00.000,IX.D.DOW.DAILY.IP,M5,43767.5,43762.7,43768.5,43763.7,43739.5,43734.7,43753,43748.2,172
IG,2025-03-03 01:35:00.000,2025-03-03 01:40:00.000,IX.D.DOW.DAILY.IP,M5,43752.5,43747.7,43754.5,43749.7,43721.5,43716.7,43741.5,43736.7,207
IG,2025-03-03 01:40:00.000,2025-03-03 01:45:00.000,IX.D.DOW.DAILY.IP,M5,43741,43736.2,43742.5,43737.7,43727.5,43722.7,43739.5,43734.7,77
IG,2025-03-03 01:45:00.000,2025-03-03 01:50:00.000,IX.D.DOW.DAILY.IP,M5,43744.5,43739.7,43764.5,43759.7,43734,43729.2,43762.5,43757.7,290
IG,2025-03-03 01:50:00.000,2025-03-03 01:55:00.000,IX.D.DOW.DAILY.IP,M5,43762,43757.2,43770.5,43765.7,43759,43754.2,43765,43760.2,232
IG,2025-03-03 01:55:00.000,2025-03-03 02:00:00.000,IX.D.DOW.DAILY.IP,M5,43765.5,43760.7,43783,43778.2,43763.5,43758.7,43782.5,43777.7,177
IG,2025-03-03 02:00:00.000,2025-03-03 02:05:00.000,IX.D.DOW.DAILY.IP,M5,43783,43778.2,43801,43796.2,43777.5,43772.7,43800.5,43795.7,355
IG,2025-03-03 02:05:00.000,2025-03-03 02:10:00.000,IX.D.DOW.DAILY.IP,M5,43801,43796.2,43815.5,43810.7,43793.5,43788.7,43815.5,43810.7,372
IG,2025-03-03 02:10:00.000,2025-03-03 02:15:00.000,IX.D.DOW.DAILY.IP,M5,43816,43811.2,43821,43816.2,43798.5,43793.7,43805.5,43800.7,332
IG,2025-03-03 02:15:00.000,2025-03-03 02:20:00.000,IX.D.DOW.DAILY.IP,M5,43806,43801.2,43806.5,43801.7,43785.5,43780.7,43794.5,43789.7,119
IG,2025-03-03 02:20:00.000,2025-03-03 02:25:00.000,IX.D.DOW.DAILY.IP,M5,43794,43789.2,43798,43793.2,43778,43773.2,43788,43783.2,108
IG,2025-03-03 02:25:00.000,2025-03-03 02:30:00.000,IX.D.DOW.DAILY.IP,M5,43788.5,43783.7,43796,43791.2,43765.5,43760.7,43769.5,43764.7,188
IG,2025-03-03 02:30:00.000,2025-03-03 02:35:00.000,IX.D.DOW.DAILY.IP,M5,43770,43765.2,43770.5,43765.7,43749.5,43744.7,43758.5,43753.7,415
IG,2025-03-03 02:35:00.000,2025-03-03 02:40:00.000,IX.D.DOW.DAILY.IP,M5,43759,43754.2,43775,43770.2,43758.5,43753.7,43767.5,43762.7,99
IG,2025-03-03 02:40:00.000,2025-03-03 02:45:00.000,IX.D.DOW.DAILY.IP,M5,43767,43762.2,43770,43765.2,43762.5,43757.7,43769.5,43764.7,67
IG,2025-03-03 02:45:00.000,2025-03-03 02:50:00.000,IX.D.DOW.DAILY.IP,M5,43769,43764.2,43776.5,43771.7,43763.5,43758.7,43771.5,43766.7,51
IG,2025-03-03 02:50:00.000,2025-03-03 02:55:00.000,IX.D.DOW.DAILY.IP,M5,43772,43767.2,43789.5,43784.7,43767.5,43762.7,43784.5,43779.7,150
IG,2025-03-03 02:55:00.000,2025-03-03 03:00:00.000,IX.D.DOW.DAILY.IP,M5,43785,43780.2,43785,43780.2,43772,43767.2,43774.5,43769.7,74
IG,2025-03-03 03:00:00.000,2025-03-03 03:05:00.000,IX.D.DOW.DAILY.IP,M5,43774,43769.2,43778.5,43773.7,43746.5,43741.7,43757.5,43752.7,228
