Provider,Start,End,Epic,TimeFrame,OpenAsk,OpenBid,HighAsk,HighBid,LowAsk,LowBid,CloseAsk,CloseBid,Volume
IG,2025-03-03 00:05:00.000,2025-03-03 00:10:00.000,IX.D.NASDAQ.CASH.IP,M5,20886.1,20884.1,20896.7,20894.7,20875,20873,20893.8,20891.8,714
IG,2025-03-03 00:10:00.000,2025-03-03 00:15:00.000,IX.D.NASDAQ.CASH.IP,M5,20894,20892,20895.3,20893.3,20846.6,20844.6,20846.6,20844.6,1351
IG,2025-03-03 00:15:00.000,2025-03-03 00:20:00.000,IX.D.NASDAQ.CASH.IP,M5,20845.5,20843.5,20854,20852,20801.7,20799.7,20830.6,20828.6,2846
IG,2025-03-03 00:20:00.000,2025-03-03 00:25:00.000,IX.D.NASDAQ.CASH.IP,M5,20829,20827,20842.7,20840.7,20825.3,20823.3,20833.1,20831.1,1301
IG,2025-03-03 00:25:00.000,2025-03-03 00:30:00.000,IX.D.NASDAQ.CASH.IP,M5,20834,20832,20841.8,20839.8,20827.5,20825.5,20833.3,20831.3,620
IG,2025-03-03 00:30:00.000,2025-03-03 00:35:00.000,IX.D.NASDAQ.CASH.IP,M5,20833.5,20831.5,20840.8,20838.8,20814.7,20812.7,20830.2,20828.2,1021
IG,2025-03-03 00:35:00.000,2025-03-03 00:40:01.000,IX.D.NASDAQ.CASH.IP,M5,20830.1,20828.1,20831,20829,20791.5,20789.5,20829,20827,1723
IG,2025-03-03 00:40:01.000,2025-03-03 00:45:00.000,IX.D.NASDAQ.CASH.IP,M5,20828.8,20826.8,20845.2,20843.2,20823,20821,20838,20836,711
IG,2025-03-03 00:45:00.000,2025-03-03 00:50:00.000,IX.D.NASDAQ.CASH.IP,M5,20838.1,20836.1,20857.7,20855.7,20835.2,20833.2,20857.7,20855.7,849
IG,2025-03-03 00:50:00.000,2025-03-03 00:55:01.000,IX.D.NASDAQ.CASH.IP,M5,20857.5,20855.5,20858.3,20856.3,20843.1,20841.1,20851.2,20849.2,595
IG,2025-03-03 00:55:00.000,2025-03-03 01:00:00.000,IX.D.NASDAQ.CASH.IP,M5,20847.3,20845.3,20851.3,20849.3,20823.6,20821.6,20835.5,20833.5,686
IG,2025-03-03 01:00:00.000,2025-03-03 01:05:00.000,IX.D.NASDAQ.CASH.IP,M5,20835.8,20833.8,20862.8,20860.8,20815.1,20813.1,20850.7,20848.7,1596
IG,2025-03-03 01:05:00.000,2025-03-03 01:10:00.000,IX.D.NASDAQ.CASH.IP,M5,20851.1,20849.1,20869.7,20867.7,20845.3,20843.3,20855.3,20853.3,882
IG,2025-03-03 01:10:00.000,2025-03-03 01:15:00.000,IX.D.NASDAQ.CASH.IP,M5,20855.5,20853.5,20862.5,20860.5,20842.6,20840.6,20848.2,20846.2,586
IG,2025-03-03 01:15:00.000,2025-03-03 01:20:00.000,IX.D.NASDAQ.CASH.IP,M5,20848.6,20846.6,20849.7,20847.7,20833.2,20831.2,20845.5,20843.5,623
IG,2025-03-03 01:20:00.000,2025-03-03 01:25:00.000,IX.D.NASDAQ.CASH.IP,M5,20845.6,20843.6,20855.3,20853.3,20839.2,20837.2,20855.3,20853.3,535
IG,2025-03-03 01:25:00.000,2025-03-03 01:30:00.000,IX.D.NASDAQ.CASH.IP,M5,20855.2,20853.2,20871.1,20869.1,20851.1,20849.1,20863.1,20861.1,599
IG,2025-03-03 01:30:00.000,2025-03-03 01:35:00.000,IX.D.NASDAQ.CASH.IP,M5,20863.2,20861.2,20866.5,20864.5,20849.7,20847.7,20862.3,20860.3,559
IG,2025-03-03 01:35:00.000,2025-03-03 01:40:00.000,IX.D.NASDAQ.CASH.IP,M5,20862.2,20860.2,20865.3,20863.3,20841.6,20839.6,20853,20851,545
IG,2025-03-03 01:40:00.000,2025-03-03 01:45:00.000,IX.D.NASDAQ.CASH.IP,M5,20852.8,20850.8,20853.2,20851.2,20838.3,20836.3,20849.2,20847.2,442
IG,2025-03-03 01:45:00.000,2025-03-03 01:50:00.000,IX.D.NASDAQ.CASH.IP,M5,20849.3,20847.3,20879.5,20877.5,20845.8,20843.8,20874.3,20872.3,929
IG,2025-03-03 01:50:00.000,2025-03-03 01:55:00.000,IX.D.NASDAQ.CASH.IP,M5,20874.5,20872.5,20891,20889,20872,20870,20889.6,20887.6,851
IG,2025-03-03 01:55:00.000,2025-03-03 02:00:00.000,IX.D.NASDAQ.CASH.IP,M5,20889.7,20887.7,20903.5,20901.5,20888.3,20886.3,20895.1,20893.1,779
IG,2025-03-03 02:00:00.000,2025-03-03 02:05:00.000,IX.D.NASDAQ.CASH.IP,M5,20895,20893,20904.7,20902.7,20891.8,20889.8,20897.5,20895.5,539
IG,2025-03-03 02:05:00.000,2025-03-03 02:10:00.000,IX.D.NASDAQ.CASH.IP,M5,20897.8,20895.8,20914.3,20912.3,20892.2,20890.2,20897.5,20895.5,859
IG,2025-03-03 02:10:00.000,2025-03-03 02:15:00.000,IX.D.NASDAQ.CASH.IP,M5,20897.6,20895.6,20904.5,20902.5,20892.5,20890.5,20900.7,20898.7,480
IG,2025-03-03 02:15:00.000,2025-03-03 02:20:00.000,IX.D.NASDAQ.CASH.IP,M5,20901.2,20899.2,20904,20902,20891.6,20889.6,20896.8,20894.8,485
IG,2025-03-03 02:20:00.000,2025-03-03 02:25:00.000,IX.D.NASDAQ.CASH.IP,M5,20896.7,20894.7,20898.6,20896.6,20880.1,20878.1,20888.5,20886.5,602
IG,2025-03-03 02:25:00.000,2025-03-03 02:30:00.000,IX.D.NASDAQ.CASH.IP,M5,20888.6,20886.6,20896,20894,20879.1,20877.1,20884.2,20882.2,544
IG,2025-03-03 02:30:00.000,2025-03-03 02:35:00.000,IX.D.NASDAQ.CASH.IP,M5,20884.3,20882.3,20888.8,20886.8,20869.1,20867.1,20884.1,20882.1,721
IG,2025-03-03 02:35:00.000,2025-03-03 02:40:00.000,IX.D.NASDAQ.CASH.IP,M5,20884,20882,20898.5,20896.5,20883.7,20881.7,20891.5,20889.5,507
IG,2025-03-03 02:40:00.000,2025-03-03 02:45:00.000,IX.D.NASDAQ.CASH.IP,M5,20891.6,20889.6,20894.3,20892.3,20888.2,20886.2,20890.3,20888.3,376
IG,2025-03-03 02:45:00.000,2025-03-03 02:50:00.000,IX.D.NASDAQ.CASH.IP,M5,20890.2,20888.2,20895.5,20893.5,20882.5,20880.5,20890.7,20888.7,293
IG,2025-03-03 02:50:00.000,2025-03-03 02:55:00.000,IX.D.NASDAQ.CASH.IP,M5,20890.8,20888.8,20906.6,20904.6,20890.1,20888.1,20901.6,20899.6,627
IG,2025-03-03 02:55:00.000,2025-03-03 03:00:00.000,IX.D.NASDAQ.CASH.IP,M5,20901.3,20899.3,20902.8,20900.8,20875.5,20873.5,20880.1,20878.1,539
IG,2025-03-03 03:00:00.000,2025-03-03 03:05:00.000,IX.D.NASDAQ.CASH.IP,M5,20880,20878,20885.1,20883.1,20865.6,20863.6,20875.2,20873.2,550
IG,2025-03-03 03:05:00.000,2025-03-03 03:10:00.000,IX.D.NASDAQ.CASH.IP,M5,20875.3,20873.3,20875.7,20873.7,20857.1,20855.1,20862.3,20860.3,524
IG,2025-03-03 03:10:00.000,2025-03-03 03:15:00.000,IX.D.NASDAQ.CASH.IP,M5,20862.5,20860.5,20866.2,20864.2,20855.8,20853.8,20856.6,20854.6,404
IG,2025-03-03 03:15:00.000,2025-03-03 03:20:00.000,IX.D.NASDAQ.CASH.IP,M5,20856.7,20854.7,20863.8,20861.8,20851.7,20849.7,20854.3,20852.3,308
IG,2025-03-03 03:20:00.000,2025-03-03 03:25:00.000,IX.D.NASDAQ.CASH.IP,M5,20853.8,20851.8,20865.7,20863.7,20835.6,20833.6,20838.1,20836.1,984
IG,2025-03-03 03:25:00.000,2025-03-03 03:30:00.000,IX.D.NASDAQ.CASH.IP,M5,20838,20836,20853.8,20851.8,20836.5,20834.5,20850.7,20848.7,601
IG,2025-03-03 03:30:00.000,2025-03-03 03:35:00.000,IX.D.NASDAQ.CASH.IP,M5,20850.6,20848.6,20858,20856,20839.5,20837.5,20854.6,20852.6,767
IG,2025-03-03 03:35:00.000,2025-03-03 03:40:00.000,IX.D.NASDAQ.CASH.IP,M5,20854.7,20852.7,20864,20862,20852.8,20850.8,20863.3,20861.3,290
IG,2025-03-03 03:40:00.000,2025-03-03 03:45:00.000,IX.D.NASDAQ.CASH.IP,M5,20863.5,20861.5,20865.7,20863.7,20856.1,20854.1,20858.7,20856.7,255
IG,2025-03-03 03:45:00.000,2025-03-03 03:50:00.000,IX.D.NASDAQ.CASH.IP,M5,20858.6,20856.6,20866.1,20864.1,20858.5,20856.5,20864.5,20862.5,198
IG,2025-03-03 03:50:00.000,2025-03-03 03:55:00.000,IX.D.NASDAQ.CASH.IP,M5,20864.3,20862.3,20873,20871,20863.6,20861.6,20869.2,20867.2,359
IG,2025-03-03 03:55:00.000,2025-03-03 04:00:00.000,IX.D.NASDAQ.CASH.IP,M5,20869.1,20867.1,20878,20876,20868.3,20866.3,20874.3,20872.3,269
