Provider,Start,End,Epic,TimeFrame,OpenAsk,OpenBid,HighAsk,HighBid,LowAsk,LowBid,CloseAsk,CloseBid,Volume
IG,2025-03-03 00:05:00.000,2025-03-03 00:10:00.000,IX.D.NIKKEI.DAILY.IP,M5,37584.7,37577.7,37632.2,37625.2,37539.7,37532.7,37594.7,37587.7,442
IG,2025-03-03 00:10:00.000,2025-03-03 00:15:00.000,IX.D.NIKKEI.DAILY.IP,M5,37592.2,37585.2,37602.2,37595.2,37462.2,37455.2,37464.7,37457.7,492
IG,2025-03-03 00:15:00.000,2025-03-03 00:20:00.000,IX.D.NIKKEI.DAILY.IP,M5,37459.7,37452.7,37532.2,37525.2,37429.7,37422.7,37467.2,37460.2,464
IG,2025-03-03 00:20:00.000,2025-03-03 00:25:00.000,IX.D.NIKKEI.DAILY.IP,M5,37464.7,37457.7,37502.2,37495.2,37452.2,37445.2,37459.7,37452.7,446
IG,2025-03-03 00:25:00.000,2025-03-03 00:30:00.000,IX.D.NIKKEI.DAILY.IP,M5,37462.2,37455.2,37517.2,37510.2,37439.7,37432.7,37439.7,37432.7,264
IG,2025-03-03 00:30:01.000,2025-03-03 00:35:00.000,IX.D.NIKKEI.DAILY.IP,M5,37437.2,37430.2,37464.7,37457.7,37394.7,37387.7,37409.7,37402.7,337
IG,2025-03-03 00:35:00.000,2025-03-03 00:40:00.000,IX.D.NIKKEI.DAILY.IP,M5,37407.2,37400.2,37419.7,37412.7,37367.2,37360.2,37414.7,37407.7,240
IG,2025-03-03 00:40:01.000,2025-03-03 00:45:00.000,IX.D.NIKKEI.DAILY.IP,M5,37417.2,37410.2,37469.7,37462.7,37392.2,37385.2,37469.7,37462.7,306
IG,2025-03-03 00:45:00.000,2025-03-03 00:50:00.000,IX.D.NIKKEI.DAILY.IP,M5,37472.2,37465.2,37517.2,37510.2,37462.2,37455.2,37504.7,37497.7,464
IG,2025-03-03 00:50:03.000,2025-03-03 00:55:00.000,IX.D.NIKKEI.DAILY.IP,M5,37502.2,37495.2,37527.2,37520.2,37484.7,37477.7,37524.7,37517.7,154
IG,2025-03-03 00:55:00.000,2025-03-03 01:00:00.000,IX.D.NIKKEI.DAILY.IP,M5,37517.2,37510.2,37524.7,37517.7,37439.7,37432.7,37459.7,37452.7,463
IG,2025-03-03 01:00:00.000,2025-03-03 01:05:00.000,IX.D.NIKKEI.DAILY.IP,M5,37464.7,37457.7,37624.7,37617.7,37414.7,37407.7,37574.7,37567.7,590
IG,2025-03-03 01:05:00.000,2025-03-03 01:10:00.000,IX.D.NIKKEI.DAILY.IP,M5,37572.2,37565.2,37624.7,37617.7,37539.7,37532.7,37539.7,37532.7,492
IG,2025-03-03 01:10:00.000,2025-03-03 01:15:00.000,IX.D.NIKKEI.DAILY.IP,M5,37537.2,37530.2,37557.2,37550.2,37489.7,37482.7,37519.7,37512.7,393
IG,2025-03-03 01:15:00.000,2025-03-03 01:20:00.000,IX.D.NIKKEI.DAILY.IP,M5,37522.2,37515.2,37562.2,37555.2,37494.7,37487.7,37557.2,37550.2,198
IG,2025-03-03 01:20:00.000,2025-03-03 01:25:00.000,IX.D.NIKKEI.DAILY.IP,M5,37559.7,37552.7,37632.2,37625.2,37552.2,37545.2,37629.7,37622.7,246
IG,2025-03-03 01:25:00.000,2025-03-03 01:30:00.000,IX.D.NIKKEI.DAILY.IP,M5,37632.2,37625.2,37644.7,37637.7,37607.2,37600.2,37632.2,37625.2,153
IG,2025-03-03 01:30:00.000,2025-03-03 01:35:00.000,IX.D.NIKKEI.DAILY.IP,M5,37634.7,37627.7,37644.7,37637.7,37582.2,37575.2,37639.7,37632.7,319
IG,2025-03-03 01:35:00.000,2025-03-03 01:40:00.000,IX.D.NIKKEI.DAILY.IP,M5,37637.2,37630.2,37642.2,37635.2,37537.2,37530.2,37572.2,37565.2,315
IG,2025-03-03 01:40:00.000,2025-03-03 01:45:00.000,IX.D.NIKKEI.DAILY.IP,M5,37574.7,37567.7,37589.7,37582.7,37534.7,37527.7,37542.2,37535.2,134
IG,2025-03-03 01:45:00.000,2025-03-03 01:50:00.000,IX.D.NIKKEI.DAILY.IP,M5,37539.7,37532.7,37592.2,37585.2,37522.2,37515.2,37569.7,37562.7,113
IG,2025-03-03 01:50:00.000,2025-03-03 01:55:00.000,IX.D.NIKKEI.DAILY.IP,M5,37567.2,37560.2,37602.2,37595.2,37559.7,37552.7,37574.7,37567.7,100
IG,2025-03-03 01:55:00.000,2025-03-03 02:00:00.000,IX.D.NIKKEI.DAILY.IP,M5,37572.2,37565.2,37599.7,37592.7,37534.7,37527.7,37537.2,37530.2,109
IG,2025-03-03 02:00:00.000,2025-03-03 02:05:00.000,IX.D.NIKKEI.DAILY.IP,M5,37534.7,37527.7,37549.7,37542.7,37504.7,37497.7,37522.2,37515.2,165
IG,2025-03-03 02:05:00.000,2025-03-03 02:10:00.000,IX.D.NIKKEI.DAILY.IP,M5,37524.7,37517.7,37562.2,37555.2,37497.2,37490.2,37544.7,37537.7,127
IG,2025-03-03 02:10:00.000,2025-03-03 02:15:00.000,IX.D.NIKKEI.DAILY.IP,M5,37547.2,37540.2,37554.7,37547.7,37507.2,37500.2,37537.2,37530.2,86
IG,2025-03-03 02:15:00.000,2025-03-03 02:20:00.000,IX.D.NIKKEI.DAILY.IP,M5,37539.7,37532.7,37569.7,37562.7,37522.2,37515.2,37569.7,37562.7,66
IG,2025-03-03 02:20:00.000,2025-03-03 02:25:00.000,IX.D.NIKKEI.DAILY.IP,M5,37567.2,37560.2,37592.2,37585.2,37559.7,37552.7,37587.2,37580.2,70
IG,2025-03-03 02:25:00.000,2025-03-03 02:30:00.000,IX.D.NIKKEI.DAILY.IP,M5,37589.7,37582.7,37602.2,37595.2,37562.2,37555.2,37574.7,37567.7,100
IG,2025-03-03 02:30:00.000,2025-03-03 02:35:00.000,IX.D.NIKKEI.DAILY.IP,M5,37582.2,37575.2,37634.7,37627.7,37549.7,37542.7,37627.2,37620.2,79
IG,2025-03-03 02:35:00.000,2025-03-03 02:40:00.000,IX.D.NIKKEI.DAILY.IP,M5,37629.7,37622.7,37664.7,37657.7,37622.2,37615.2,37652.2,37645.2,75
IG,2025-03-03 02:40:00.000,2025-03-03 02:45:00.000,IX.D.NIKKEI.DAILY.IP,M5,37654.7,37647.7,37682.2,37675.2,37652.2,37645.2,37674.7,37667.7,68
IG,2025-03-03 02:45:00.000,2025-03-03 02:50:00.000,IX.D.NIKKEI.DAILY.IP,M5,37672.2,37665.2,37687.2,37680.2,37647.2,37640.2,37654.7,37647.7,113
IG,2025-03-03 02:50:00.000,2025-03-03 02:55:00.000,IX.D.NIKKEI.DAILY.IP,M5,37657.2,37650.2,37694.7,37687.7,37654.7,37647.7,37674.7,37667.7,98
IG,2025-03-03 02:55:00.000,2025-03-03 03:00:00.000,IX.D.NIKKEI.DAILY.IP,M5,37672.2,37665.2,37674.7,37667.7,37624.7,37617.7,37624.7,37617.7,60
IG,2025-03-03 03:00:00.000,2025-03-03 03:05:00.000,IX.D.NIKKEI.DAILY.IP,M5,37627.2,37620.2,37657.2,37650.2,37609.7,37602.7,37619.7,37612.7,149
IG,2025-03-03 03:05:00.000,2025-03-03 03:10:00.000,IX.D.NIKKEI.DAILY.IP,M5,37617.2,37610.2,37639.7,37632.7,37589.7,37582.7,37599.7,37592.7,299
IG,2025-03-03 03:10:00.000,2025-03-03 03:15:00.000,IX.D.NIKKEI.DAILY.IP,M5,37597.2,37590.2,37609.7,37602.7,37584.7,37577.7,37597.2,37590.2,52
IG,2025-03-03 03:15:00.000,2025-03-03 03:20:00.000,IX.D.NIKKEI.DAILY.IP,M5,37599.7,37592.7,37604.7,37597.7,37584.7,37577.7,37589.7,37582.7,43
IG,2025-03-03 03:20:00.000,2025-03-03 03:25:00.000,IX.D.NIKKEI.DAILY.IP,M5,37592.2,37585.2,37607.2,37600.2,37567.2,37560.2,37577.2,37570.2,84
IG,2025-03-03 03:25:00.000,2025-03-03 03:30:00.000,IX.D.NIKKEI.DAILY.IP,M5,37574.7,37567.7,37604.7,37597.7,37572.2,37565.2,37594.7,37587.7,85
IG,2025-03-03 03:30:00.000,2025-03-03 03:35:00.000,IX.D.NIKKEI.DAILY.IP,M5,37592.2,37585.2,37644.7,37637.7,37587.2,37580.2,37622.2,37615.2,186
IG,2025-03-03 03:35:00.000,2025-03-03 03:40:00.000,IX.D.NIKKEI.DAILY.IP,M5,37624.7,37617.7,37697.2,37690.2,37619.7,37612.7,37684.7,37677.7,181
IG,2025-03-03 03:40:00.000,2025-03-03 03:45:00.000,IX.D.NIKKEI.DAILY.IP,M5,37682.2,37675.2,37692.2,37685.2,37633.6,37626.6,37646.1,37639.1,121
IG,2025-03-03 03:45:00.000,2025-03-03 03:50:00.000,IX.D.NIKKEI.DAILY.IP,M5,37648.6,37641.6,37686.1,37679.1,37648.6,37641.6,37671.1,37664.1,95
IG,2025-03-03 03:50:00.000,2025-03-03 03:55:00.000,IX.D.NIKKEI.DAILY.IP,M5,37668.6,37661.6,37681.1,37674.1,37661.1,37654.1,37676.1,37669.1,28
